,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
114,"At My Worst","Pink Sweat$",877201,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
115,"Wasted Love (feat. Lagique)",Ofenbach,876267,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
116,"The Hills","The Weeknd",864721,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
117,"Breaking Me",Topic,863384,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
118,"Shy Away","Twenty One Pilots",862280,https://open.spotify.com/track/2z0IupRlVRlDN5r2IVqHyN
119,Perfect,"Ed Sheeran",861870,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
120,"La Nota","Manuel Turizo",854116,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
121,"Disco Arranhado - Funk Remix",Malu,853180,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
122,"No Te Enamores - Remix",Milly,851448,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
123,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",848037,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
124,"Machu Picchu",Camilo,846964,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
125,"Daddy Issues","The Neighbourhood",846527,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
126,"Travesuras - Remix","Nio Garcia",845788,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
127,You,Regard,842460,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
128,Golden,"Harry Styles",838484,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
129,"The Box","Roddy Ricch",835740,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
130,"Just the Way You Are","Bruno Mars",833925,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
131,"Laugh Now Cry Later (feat. Lil Durk)",Drake,828271,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
132,"Somebody That I Used To Know",Gotye,827500,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
133,"Savage Love (Laxed - Siren Beat)","Jawsh 685",825970,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
134,"Break My Heart","Dua Lipa",819114,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
135,"All of Me","John Legend",818677,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
136,Goosebumps,HVME,804602,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
137,"Blueberry Faygo","Lil Mosey",803628,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
138,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",803160,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
139,"Dreams - 2004 Remaster","Fleetwood Mac",802851,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
140,Falling,"Harry Styles",802036,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
141,"The Nights",Avicii,801238,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
142,"Liberdade (Quando o Grave Bate Forte)",Alok,801180,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
143,"7 rings","Ariana Grande",798452,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
144,"Pareja Del Año","Sebastian Yatra",790367,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
145,"Do I Wanna Know?","Arctic Monkeys",790187,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
146,"Bohemian Rhapsody - Remastered 2011",Queen,788768,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
147,"HIGHEST IN THE ROOM","Travis Scott",778792,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
148,"Rain On Me (with Ariana Grande)","Lady Gaga",777028,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
